Industry,Native,Mexico,Mexico_Unauthorized
"Agriculture, forestry, fishing and hunting, and mining",9322855,248747,136811
Construction,13638992,355766,195671
Manufacturing,14329574,433861,238623
Wholesale trade,14674865,219823,120902
Retail trade,13293701,150405,82723
"Transportation and warehousing, and utilities",14674865,144620,79541
Information,15365447,240070,132038
"Finance and insurance, and real estate and rental and leasing",14502219,196683,108176
"Professional, scientific, and management, and administrative and waste management services",12085183,280563,154310
"Educational services, and health care and social assistance",10358728,124373,68405
"Arts, entertainment, and recreation, and accommodation and food services",8286983,138835,76359
Other services (except public administration),22098620,144620,79541
Public administration,9668146,214038,117721
